,,,Q_4983,"External ID"
"Survey Date Submitted","Survey Date Completed","Participant ID","What is your average wakeup time?"
"2021-12-13 19:23:29","2021-12-13 19:23:28",cupel-64qt6,480,"test, test"
"2021-12-13 19:24:36","2021-12-13 19:24:36",cupel-64qt6,N/A,"test, test"
"2021-12-13 19:36:04","2021-12-13 19:36:04",cupel-64qt6,420,"test, test"
"2021-12-13 19:36:39","2021-12-13 19:36:38",cupel-64qt6,N/A,"test, test"
"2021-12-13 19:37:11","2021-12-13 19:37:10",cupel-64qt6,540,"test, test"
"2021-12-13 21:17:30","2021-12-13 21:17:29",firn-mn8kt,600,test
"2021-12-14 13:08:16","2021-12-14 13:08:16",chis-uo0yf,480,Android_9999
"2021-12-14 13:29:22","2021-12-14 11:36:57",pice-zl3c8,480,j
"2021-12-14 13:30:31","2021-12-14 11:38:06",pice-zl3c8,420,j
"2021-12-14 13:30:55","2021-12-14 11:38:30",pice-zl3c8,480,j
"2021-12-14 13:33:26","2021-12-14 11:41:01",pice-zl3c8,480,j
"2021-12-14 13:43:29","2021-12-14 11:51:04",pice-zl3c8,600,j
"2021-12-14 13:45:29","2021-12-14 11:53:03",pice-zl3c8,600,j
"2021-12-14 13:49:48","2021-12-15 06:56:45",pice-zl3c8,540,j
"2021-12-14 14:20:55","2021-12-16 05:30:29",pice-zl3c8,600,j
"2021-12-14 14:23:14","2021-12-14 14:23:14",pice-zl3c8,240,j
"2021-12-14 14:25:02","2021-12-15 01:24:24",pice-zl3c8,600,j
"2021-12-14 14:33:52","2021-12-14 14:33:52",pice-zl3c8,420,j
"2021-12-14 14:50:15","2021-12-14 14:50:15",pice-zl3c8,420,j
"2021-12-14 14:50:15","2021-12-14 14:50:15",pice-zl3c8,420,j
"2021-12-14 14:50:15","2021-12-14 14:50:15",pice-zl3c8,420,j
"2021-12-14 14:50:15","2021-12-14 14:50:15",pice-zl3c8,420,j
"2021-12-14 14:56:59","2021-12-14 14:56:59",pice-zl3c8,600,j
"2021-12-14 15:15:53","2021-12-14 15:15:53",pice-zl3c8,480,j
"2021-12-14 15:18:17","2021-12-14 15:18:17",pice-zl3c8,540,j
"2021-12-14 15:19:45","2021-12-14 15:19:44",pice-zl3c8,420,j
"2021-12-14 15:37:04","2021-12-14 15:37:04",pice-zl3c8,420,j
"2021-12-14 15:41:22","2021-12-14 15:41:22",pice-zl3c8,480,j
"2021-12-14 16:45:05","2021-12-14 16:45:04",nill-wg0j2,600,"h, j"
"2021-12-14 20:02:53","2021-12-14 20:02:53",cupel-64qt6,540,"test, test"
"2021-12-14 20:05:21","2021-12-14 20:05:20",firn-mn8kt,420,test
"2021-12-14 20:10:06","2021-12-14 20:10:05",firn-mn8kt,600,test
"2021-12-14 20:22:02","2021-12-14 20:22:02",firn-mn8kt,480,test
"2021-12-15 11:21:16","2021-12-15 11:21:15",devon-m7k3r,540,Android_15Nov2021
"2021-12-15 11:28:02","2021-12-15 11:28:02",char-w1s9d,540,"iOS_15Nov2021, iOS_19Jan2022"
"2021-12-16 11:39:52","2021-12-16 06:39:27",eths-wz1zp,600,"test, test"
"2021-12-16 12:41:37","2021-12-16 12:41:36",hull-u76j7,420,"test, test"
"2021-12-16 12:59:14","2021-12-16 12:59:15",cairn-60bm0,420,9090
"2022-01-03 07:50:50","2022-01-03 07:50:50",culls-mv5st,420,9999_Android_2022
"2022-01-03 07:50:51","2022-01-03 07:50:51",site-2ox1f,420,9999_iOS_2022
"2022-01-04 09:04:08","2022-01-04 09:04:07",found-s1i5l,360,testing2022
"2022-01-06 12:25:11","2022-01-06 12:25:10",genu-za0ct,420,found-s1i5l
"2022-01-08 08:13:43","2022-01-08 08:13:43",found-711jx,420,08Jan2022
"2022-01-09 19:00:06","2022-01-09 19:00:05",gawp-51hl2,420,09Jan2022Android
"2022-01-09 20:49:20","2022-01-09 20:49:20",cant-jt1w4,420,"iOSTest_2022_Jan, 08Jan2022, 09Jan2022iOS"
"2022-01-11 08:41:33","2022-01-11 08:41:33",para-a3h2l,360,"iOS_01Jan2022_a, iOS_01Jan2022_b, iOS_01Jan2022_c"
"2022-01-11 08:45:25","2022-01-11 08:45:25",para-a3h2l,360,"iOS_01Jan2022_a, iOS_01Jan2022_b, iOS_01Jan2022_c"
"2022-01-11 08:56:54","2022-01-11 08:56:53",para-a3h2l,480,"iOS_01Jan2022_a, iOS_01Jan2022_b, iOS_01Jan2022_c"
"2022-01-11 09:02:50","2022-01-11 09:02:50",arles-xm8su,540,iOS_Jan11_new
"2022-01-11 09:13:08","2022-01-11 09:13:08",devil-8jf9q,600,"iOS_Jan11_new, NEW2022"
"2022-01-11 09:16:42","2022-01-11 09:16:42",devil-8jf9q,360,"iOS_Jan11_new, NEW2022"
"2022-01-11 09:21:17","2022-01-11 09:21:17",cogs-ep5np,420,GetNewID_advanced
"2022-01-11 12:06:35","2022-01-11 12:06:35",alula-lr6m2,360,11Jan2022_afternoon
"2022-01-11 12:27:37","2022-01-11 12:27:36",duple-qy58f,300,QRcodeTest_Android
"2022-01-11 12:28:46","2022-01-11 12:28:46",duple-qy58f,420,QRcodeTest_Android
"2022-01-11 12:37:48","2022-01-11 12:37:48",guru-ih8kj,600,QRcodeTest_iOS
"2022-01-11 12:43:25","2022-01-11 12:43:25",duple-qy58f,360,QRcodeTest_Android
"2022-01-11 12:48:12","2022-01-11 12:48:11",left-rt43f,480,newID_11Jan2022
"2022-01-11 12:49:47","2022-01-11 12:49:47",shog-l49c4,360,QRcodeTest_Android
"2022-01-11 12:51:13","2022-01-11 12:51:13",shog-l49c4,420,QRcodeTest_Android
"2022-01-11 12:52:44","2022-01-11 12:52:44",shog-l49c4,420,QRcodeTest_Android
"2022-01-11 12:53:50","2022-01-11 12:53:49",shog-l49c4,420,QRcodeTest_Android
"2022-01-11 12:56:07","2022-01-11 12:56:06",guru-ih8kj,420,QRcodeTest_iOS
"2022-01-11 12:57:29","2022-01-11 12:57:29",arcs-6gr8o,480,QRcodeTest_iOS
"2022-01-11 12:59:02","2022-01-11 12:59:02",dwine-h8729,420,QRcodeTest_Android
"2022-01-11 17:10:28","2022-01-11 17:10:27",mams-k9x34,420,QRcodeTest_Android
"2022-01-12 07:49:25","2022-01-12 07:49:25",doby-0a9x0,360,QRcodeTest_iOS
"2022-01-13 13:00:00","2022-01-13 12:59:59",banco-n2k3n,360,QRcodeTest_iOS
"2022-01-17 07:55:41","2022-01-17 07:55:40",chute-2zm6v,420,17Jan2022_Android
"2022-01-17 11:58:26","2022-01-17 11:58:25",horn-cj28g,480,17Jan2022-update
"2022-01-17 14:45:08","2022-01-17 14:45:07",blae-9rj3f,360,Android_data_check
"2022-01-17 14:45:09","2022-01-17 14:45:09",ceili-pw0jk,360,"iOS_17Jan2022_updated, iOS_data_check, schedule_check_iOS"
"2022-01-17 15:26:53","2022-01-17 15:26:52",gush-wv4rx,420,no_scheduler_check
"2022-01-17 15:48:47","2022-01-17 15:48:47",ceili-pw0jk,360,"iOS_17Jan2022_updated, iOS_data_check, schedule_check_iOS"
"2022-01-17 17:09:40","2022-01-17 17:09:40",curdy-ls0rn,300,tired_iOS
"2022-01-18 08:59:44","2022-01-18 08:59:44",idol-pp00v,300,Android_18Jan2022
"2022-01-18 09:01:29","2022-01-18 09:01:29",frug-xl3j7,300,iOS_18Jan2022
"2022-01-19 07:31:02","2022-01-19 07:31:02",char-w1s9d,360,"iOS_15Nov2021, iOS_19Jan2022"
"2022-01-19 07:38:30","2022-01-19 07:38:30",ajuga-l8j90,480,iPhone7_19Jan2022
"2022-01-19 08:25:32","2022-01-19 08:25:32",fend-6lh42,420,miA2_19Jan2022a
"2022-01-19 08:31:24","2022-01-19 08:31:24",dream-v3c9d,360,MiA2_20Jan2022
